farm_id,code,add_code,addr1,addr2,addr3,f.add_code,f.addr1,f.addr2,f.addr3,p1.age,p1.sex,toddler,kinder,elem,middle,high,parents,child,teenager,age_c,index7
강진군_4_0_0_0,557440,4681031000,전라남도,강진군,군동면,4681025000,전라남도,강진군,강진읍,61,2,0,0,0,0,0,0,0,0,4,3
강진군_4_0_0_0,534745,4681031000,전라남도,강진군,군동면,4681025000,전라남도,강진군,강진읍,61,2,0,0,0,0,0,0,0,0,4,3
강진군_4_0_0_0,468333,4681035000,전라남도,강진군,신전면,4681035000,전라남도,강진군,신전면,63,1,0,0,0,0,0,0,0,0,4,3
강진군_4_0_0_0,494076,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,64,1,0,0,0,0,0,0,0,0,4,3
강진군_4_0_0_0,497042,4681035000,전라남도,강진군,신전면,4681034000,전라남도,강진군,도암면,65,2,0,0,0,0,0,0,0,0,4,3
강진군_4_0_0_0,437306,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,71,1,0,0,0,0,0,0,0,0,4,3
강진군_4_0_0_0,530230,4681040000,전라남도,강진군,마량면,4681040000,전라남도,강진군,마량면,73,2,0,0,0,0,0,0,0,0,4,3
강진군_4_0_1_0,495781,4681034000,전라남도,강진군,도암면,4681034000,전라남도,강진군,도암면,64,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,495563,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,72,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,415683,4683025300,전라남도,영암군,삼호읍,4681039000,전라남도,강진군,옴천면,63,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,501752,4681031000,전라남도,강진군,군동면,4681025000,전라남도,강진군,강진읍,70,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,481170,4681032000,전라남도,강진군,칠량면,4681032000,전라남도,강진군,칠량면,62,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,457569,4682025000,전라남도,해남군,해남읍,4681034000,전라남도,강진군,도암면,67,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,391825,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,66,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,433862,4681031000,전라남도,강진군,군동면,4681036000,전라남도,강진군,성전면,61,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,405742,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,65,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,349151,4681025000,전라남도,강진군,강진읍,4681035000,전라남도,강진군,신전면,61,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,419221,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,72,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,460813,4681032000,전라남도,강진군,칠량면,4681032000,전라남도,강진군,칠량면,72,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,411033,4681032000,전라남도,강진군,칠량면,4681032000,전라남도,강진군,칠량면,77,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,445123,4681025000,전라남도,강진군,강진읍,4681025000,전라남도,강진군,강진읍,61,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,398232,4681025000,전라남도,강진군,강진읍,4681031000,전라남도,강진군,군동면,65,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,397512,4681033000,전라남도,강진군,대구면,4681033000,전라남도,강진군,대구면,63,1,0,0,0,0,1,0,0,1,4,7
강진군_4_0_1_0,400562,4682025000,전라남도,해남군,해남읍,4681034000,전라남도,강진군,도암면,67,1,0,0,0,0,1,0,0,1,4,7
강진군_4_1_1_0,365799,4681034000,전라남도,강진군,도암면,4681034000,전라남도,강진군,도암면,63,1,0,0,1,0,1,0,1,1,4,3
거제시_1_0_0_0,397747,4617034000,전라남도,나주시,공산면,4831057000,경상남도,거제시,장평동,39,1,0,0,0,0,0,0,0,0,1,4
